id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality__nationality_name
142,Robert Hines,Active,Government,National Aeronautics and Space Administration,50.0,1975-01-11,,
582,Jessica Watkins,Active,Government,National Aeronautics and Space Administration,37.0,1988-05-14,,
440,David Wolf,Retired,Government,National Aeronautics and Space Administration,69.0,1956-08-23,,
566,Scott D. Tingle,Active,Government,National Aeronautics and Space Administration,60.0,1965-07-19,,
569,Norishige Kanai,Active,Government,Japan Aerospace Exploration Agency,48.0,1976-12-05,,
571,Victor J. Glover,Active,Government,National Aeronautics and Space Administration,49.0,1976-04-30,,
247,Yelena Serova,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),49.0,1976-04-22,,
523,Clayton Anderson,Retired,Government,National Aeronautics and Space Administration,66.0,1959-02-23,,
5,Chris Hadfield,Retired,Government,Canadian Space Agency,66.0,1959-08-29,,
568,Gregory R. Wiseman,Active,Government,National Aeronautics and Space Administration,49.0,1975-11-11,,
526,Timothy Creamer,Retired,Government,National Aeronautics and Space Administration,65.0,1959-11-15,,
363,John E. Blaha,Retired,Government,National Aeronautics and Space Administration,83.0,1942-08-26,,
394,William Shepherd,Retired,Government,National Aeronautics and Space Administration,76.0,1949-07-26,,
167,Dmitri Kondratyev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),56.0,1969-05-25,,
541,Kevin A. Ford,Retired,Government,National Aeronautics and Space Administration,65.0,1960-07-07,,
649,Anna Kikina,Active,Government,Russian Federal Space Agency (ROSCOSMOS),41.0,1984-08-27,,
572,Nicole Aunapu Mann,Active,Government,National Aeronautics and Space Administration,48.0,1977-06-27,,
570,Josh A. Cassada,Retired,Government,National Aeronautics and Space Administration,52.0,1973-07-18,,
502,Sandra Magnus,Retired,Government,National Aeronautics and Space Administration,60.0,1964-10-30,,
765,Haichao Gui,Active,Government,China National Space Administration,38.0,1986-11-01,,
764,Yangzhu Zhu,Active,Government,China National Space Administration,39.0,1986-09-01,,
553,Randolph Bresnik,Active,Government,National Aeronautics and Space Administration,57.0,1967-09-11,,
807,Alexey Zubritsky,Active,Government,Russian Federal Space Agency (ROSCOSMOS),33.0,1992-08-22,,
578,Jonny Kim,Active,Government,National Aeronautics and Space Administration,41.0,1984-02-05,,
803,Kirill Peskov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),35.0,1990-05-01,,
706,Nichole Ayers,Active,Government,National Aeronautics and Space Administration,36.0,1989-01-01,,
153,Aleksandr Ivanchenkov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),84.0,1940-09-28,,
97,Vladimir Dzhanibekov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),83.0,1942-05-13,,
61,Anatoly Artsebarsky,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),68.0,1956-09-09,,
262,Evgeny Tarelkin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),50.0,1974-12-29,,
383,Frank L. Culbertson Jr.,Retired,Government,National Aeronautics and Space Administration,76.0,1949-05-15,,
451,Jerry M. Linenger,Retired,Government,National Aeronautics and Space Administration,70.0,1955-01-09,,
586,Norman E. Thagard,Retired,Government,National Aeronautics and Space Administration,82.0,1943-07-03,,
563,Jack D. Fischer,Retired,Government,National Aeronautics and Space Administration,51.0,1974-01-23,,
116,Georgy Grechko,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),85.0,1931-05-25,2017-04-08,
511,Daniel M. Tani,Retired,Government,National Aeronautics and Space Administration,64.0,1961-02-01,,
841,Jie Wang,Active,Government,China National Space Administration,36.0,1989-09-01,,
840,Zhongrui Chen,Active,Government,China National Space Administration,40.0,1984-10-01,,
232,Sergei Revin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),59.0,1966-01-12,,
209,Nie Haisheng,Active,Government,China National Space Administration,60.0,1964-10-13,,
